"SYMBOL"	"log2FoldChange"	"lfcSE"	"padj"	"sig"
"MMP13"	8.39254129469644	0.892545428120055	1.99943568286902e-18	"upregulated"
"S100A7"	7.49670181242268	2.18332758198392	0.00450715307762445	"unregulated"
"MMP1"	6.83127859441253	1.32992414872416	6.42942403139527e-06	"upregulated"
"GABBR2"	6.34885566189682	1.6113241356929	0.000874900867686761	"upregulated"
"CDC25C"	6.21699834833411	1.12401529696271	9.58561227702551e-07	"upregulated"
"CCL11"	6.0990556390565	1.27996730817333	3.48085493852422e-05	"upregulated"
"CCL20"	5.41842950811095	1.28306294605947	0.000315947149668617	"upregulated"
"MUC5B"	4.88376033123791	1.15695261414834	0.00031798771338457	"upregulated"
"KIF23"	4.63049489586515	0.835908572197427	9.26059507721464e-07	"upregulated"
"CDC25A"	4.57568002432866	0.949811490205106	2.74878811749888e-05	"upregulated"
"MAPK15"	4.4292491062302	0.968519570325275	7.79733032365997e-05	"upregulated"
"MMP9"	4.20318943149044	0.953528986062775	0.000153642897518958	"upregulated"
"CDKN2A"	4.09343680526746	1.06696903999023	0.00124965080645414	"unregulated"
"S100A9"	3.85516054219753	1.15322446238201	0.00585728999150856	"unregulated"
"CDCA5"	3.6786342612748	0.701514362174327	3.95669593700253e-06	"upregulated"
"EZH2"	3.62286553421696	0.644047569450106	6.09480999461428e-07	"upregulated"
"E2F1"	3.46450745867563	0.805982653487597	0.000238340624695685	"upregulated"
"HMGA2"	3.40088934479056	0.889752672560971	0.00131103443957702	"unregulated"
"EFNA3"	2.9966024949752	0.691504894222267	0.000207348932275519	"upregulated"
"EFNA4"	2.92857701478978	0.749206724222689	0.00098053690375702	"upregulated"
"DNMT3B"	2.74637250253605	0.749827283791701	0.00223053741487585	"unregulated"
"FKBP4"	2.6419893271425	0.524444112284776	1.00844538545609e-05	"upregulated"
"MAPK13"	2.57621926890086	0.567809947326594	9.05864904260727e-05	"upregulated"
"DDIT4"	2.53728339126106	0.772627167851507	0.00696997449352096	"unregulated"
"CXCL10"	2.35624165544433	0.54937866254962	0.000246731112536929	"upregulated"
"EZR"	2.2576798674058	0.670081642576874	0.00543214247047431	"unregulated"
"PAK4"	2.2146027510033	0.60101350340918	0.00207690329181532	"unregulated"
"FZD3"	2.16824061984875	0.542473427531869	0.000716945437259267	"upregulated"
